Município,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
241220 SAO JOSE DE MIPIBU,831,958,518,1294,1644,1578,1610,1432,1472,1236,848,911,1030,1139,1159,836,896,1119,1164,1377,2285,2701,3023,2848,3290,3391,3310,43900
241230 SAO JOSE DO CAMPESTRE,1,230,300,230,142,189,260,163,89,89,89,93,70,65,51,74,65,42,28,3,14,7,9,3,5,5,3,2319
241240 SAO JOSE DO SERIDO,,35,41,30,25,39,21,33,26,25,17,26,14,12,5,1,5,13,7,,,1,,,,1,2,379
241250 SAO MIGUEL,,672,738,749,764,677,710,594,546,428,387,459,345,381,369,397,299,310,235,185,84,81,222,87,112,32,8,9871
241255 SAO MIGUEL DO GOSTOSO,,,,3,67,79,22,37,62,88,47,25,49,26,22,6,3,5,10,,,,1,8,7,2,13,582
241260 SAO PAULO DO POTENGI,1,388,369,321,252,316,293,262,357,345,403,512,240,356,405,467,335,262,285,300,268,105,132,43,15,4,17,7053
241270 SAO PEDRO,2,78,101,29,55,115,71,71,86,72,70,87,29,,,,,,,,,,,,,1,,867
241280 SAO RAFAEL,,71,45,80,74,84,62,38,37,26,3,66,,18,36,51,39,42,24,24,4,15,24,9,6,2,3,883
241290 SAO TOME,,213,384,292,250,153,177,159,183,140,117,130,79,53,63,60,25,17,19,2,2,4,,2,1,5,2,2532
241300 SAO VICENTE,,50,61,57,58,66,64,51,30,41,23,12,,,,,,,,,1,1,1,,,1,,517
241310 SENADOR ELOI DE SOUZA,,56,42,46,22,25,14,21,24,7,1,1,,,,2,,,,,2,,4,2,,2,,271
241320 SENADOR GEORGINO AVELINO,35,35,15,11,,,1,,1,,,,,,,,,,,,,,,,,3,,101
241330 SERRA DE SAO BENTO,79,69,29,60,25,64,52,27,21,38,32,1,,2,,,1,,,,,,,,,1,,501
241335 SERRA DO MEL,,34,20,38,36,31,11,25,18,42,43,11,9,14,,,3,4,2,2,,2,1,1,1,,6,354
241340 SERRA NEGRA DO NORTE,,71,81,90,97,89,67,70,66,66,52,41,12,22,36,19,8,13,1,,,,1,,1,,,903
241350 SERRINHA,95,76,59,,,1,1,1,,,,,,,,1,,,,,,1,,2,,1,2,240
241355 SERRINHA DOS PINTOS,,,,1,,,,,,,,,,,,,1,1,,,,,1,,,,,4
241360 SEVERIANO MELO,,45,5,53,31,52,42,38,48,41,45,68,15,78,108,83,2,,,,,,,,,,12,766
241370 SITIO NOVO,,3,3,6,44,36,34,18,14,5,,2,6,1,1,5,7,2,,,,,,1,1,,1,190
241380 TABOLEIRO GRANDE,,78,79,85,52,41,11,6,23,15,8,8,6,5,1,2,,,1,,,,,,,,,421
241390 TAIPU,,169,145,136,179,209,176,134,162,158,73,1,3,,11,79,95,119,69,45,61,17,14,14,7,2,4,2082
241400 TANGARA,,28,27,17,25,53,23,17,10,3,7,93,44,52,25,46,25,34,29,12,1,6,1,,5,2,3,588
241410 TENENTE ANANIAS,,12,74,107,97,104,120,78,96,118,105,118,122,107,114,132,201,172,187,224,247,290,189,201,199,198,281,3893
241415 TENENTE LAURENTINO CRUZ,,,,19,41,29,46,34,43,48,37,28,4,3,2,4,1,10,8,1,1,1,3,,6,2,1,372
241420 TIBAU DO SUL,20,2,,1,,,,,,,16,38,67,47,49,,5,7,12,34,12,7,15,10,11,7,15,375
241430 TIMBAUBA DOS BATISTAS,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
241440 TOUROS,1,591,570,501,545,419,534,436,375,422,423,380,376,334,389,309,150,73,34,85,30,1,,30,30,31,32,7101
241445 TRIUNFO POTIGUAR,,,,2,3,,9,,15,26,26,26,13,11,9,15,3,5,1,3,,1,3,2,1,2,2,178
241450 UMARIZAL,,206,239,207,163,129,119,123,108,93,98,38,18,9,9,6,6,2,1,1,,,1,,,,,1576
241460 UPANEMA,,39,52,126,108,101,53,102,82,89,70,39,47,42,22,43,28,24,21,10,3,3,2,,6,3,2,1117
241470 VARZEA,,1,2,1,,,,,,,,,,,,,,,,,,,,,,1,2,7
241475 VENHAVER,,,,6,3,,1,,,,,,,,,,,,,,,,,,,,,10
241480 VERA CRUZ,68,101,75,114,40,,37,1,1,2,2,2,6,4,5,12,10,14,2,5,,2,2,6,2,1,3,517
241490 VICOSA,,,,,,,,,,12,9,,,,1,,,,,,,,,,,,,22
241500 VILA FLOR,2,1,,2,1,,39,63,65,43,21,18,29,14,18,,,,,,,,,,,1,2,319
TOTAL,30219,60324,58143,57409,57748,58249,56578,53657,53343,52499,50976,52459,48323,48444,50246,49445,48217,48724,47528,47267,48635,49527,45909,46709,48641,44623,44084,1357926
